Мы обострили внимание на этой важной проблеме. (заменить)|заострили
Внезапно обвиняемый решил дать чистосердечное признание. (заменить)|сделать
Этот ученый сделал неоценимый вклад в развитие отечественной науки. (заменить)|внес
Перед началом соревнований спортсмен дал клятву верности. (заменить)|принял
Наша команда смогла одержать поражение со счетом два три. (заменить)|потерпеть
В этом году фермеры ожидают собрать богатый урожай зерна. (заменить)|получить
Руководитель поспешил сделать благодарность всему коллективу. (заменить)|выразить
Мальчик сильно простудился и долго шел на выздоровление. (заменить)|поправку
Новое монументальное здание возвели на главной площади города. (заменить)|воздвигли
За долгие годы совместной работы между ними завязалось близкое знакомство. (заменить)|дружба
Пожилой профессор имеет огромный авторитет среди коллег. (заменить)|пользуется
Капитан приказал солдатам оказать решительный отпор врагу. (заменить)|дать
Этот поступок может нанести серьезный вред твоей карьере. (заменить)|причинить
Родители всегда должны обращать глубокую заботу о детях. (заменить)|проявлять
В новом учебном году закон должен официально встать в силу. (заменить)|вступить
В любом честном споре истина рано или поздно одержит верх. (заменить)|возьмет
После этой досадной неудачи не стоит вешать голову. (заменить)|нос
Все его многочисленные обещания не стоят выеденного гроша. (заменить)|яйца
Сосед уже несколько лет точит на нас скрытую обиду. (заменить)|зуб
Чтобы спасти компанию, директору пришлось взять быка за хвост. (заменить)|рога
Конкуренты постоянно пытались вставлять палки в наши дела. (заменить)|колеса
В опасной ситуации всегда нужно держать ухо открытым. (заменить)|востро
Этот коварный человек лицемерно проливал крокодиловы чувства. (заменить)|слезы
Местный помещик привык жить на широкую руку. (заменить)|ногу
Неопытный покупатель в очередной раз купил кота в пакете. (заменить)|мешке
После громкого скандала министр решил умывать лицо. (заменить)|руки
Перестань ходить вокруг да сторон, говори прямо. (заменить)|около
Не нужно раздувать эту мелкую ссору и делать из мухи комара. (заменить)|слона
Испуганный заяц мчался по лесной тропинке сломя ноги. (заменить)|голову
Ленивый студент весь семестр работал спустя пальцы. (заменить)|рукава
Хватит тянуть собаку за хвост, пора принимать решение. (заменить)|кота
Своими резкими словами он только подлил бензина в огонь. (заменить)|масла
Эти два неразлучных приятеля были одного поля овощи. (заменить)|ягода
Фирма стремится заключить новые рыночные рубежи. (заменить)|завоевать
